household_id,no_of_household_members,age
ID0001,4,71
ID0001,4,71
ID0001,4,71
ID0001,4,71
ID0001,4,71
ID0001,4,71
ID0001,4,71
ID0001,4,71
ID0001,4,66
ID0001,4,66
ID0001,4,66
ID0001,4,66
ID0001,4,66
ID0001,4,66
ID0001,4,66
ID0001,4,66
ID0001,4,32
ID0001,4,32
ID0001,4,32
ID0001,4,32
ID0001,4,32
ID0001,4,32
ID0001,4,32
ID0001,4,32
ID0001,4,30
ID0001,4,30
ID0001,4,30
ID0001,4,30
ID0001,4,30
ID0001,4,30
ID0001,4,30
ID0001,4,30
ID0002,3,85
ID0002,3,85
ID0002,3,85
ID0002,3,85
ID0002,3,66
ID0002,3,66
ID0002,3,66
ID0002,3,66
ID0002,3,59
ID0002,3,59
ID0002,3,59
ID0002,3,59
ID0003,4,44
ID0003,4,44
ID0003,4,44
ID0003,4,44
ID0003,4,44
ID0003,4,44
ID0003,4,44
ID0003,4,44
ID0003,4,44
ID0003,4,44
ID0003,4,44
ID0003,4,44
ID0003,4,44
ID0003,4,44
ID0003,4,44
ID0003,4,44
ID0003,4,44
ID0003,4,44
ID0003,4,44
ID0003,4,41
ID0003,4,41
ID0003,4,41
ID0003,4,41
ID0003,4,41
ID0003,4,41
ID0003,4,41
ID0003,4,41
ID0003,4,41
ID0003,4,41
ID0003,4,41
ID0003,4,41
ID0003,4,41
ID0003,4,41
ID0003,4,41
ID0003,4,41
ID0003,4,41
ID0003,4,41
ID0003,4,41
ID0003,4,74
ID0003,4,74
ID0003,4,74
ID0003,4,74
ID0003,4,74
ID0003,4,74
ID0003,4,74
ID0003,4,74
ID0003,4,74
ID0003,4,74
ID0003,4,74
ID0003,4,74
ID0003,4,74
ID0003,4,74
ID0003,4,74
ID0003,4,74
ID0003,4,74
ID0003,4,74
ID0003,4,74
ID0003,4,11
ID0003,4,11
ID0003,4,11
ID0003,4,11
ID0003,4,11
ID0003,4,11
ID0003,4,11
ID0003,4,11
ID0003,4,11
ID0003,4,11
ID0003,4,11
ID0003,4,11
ID0003,4,11
ID0003,4,11
ID0003,4,11
ID0003,4,11
ID0003,4,11
ID0003,4,11
ID0003,4,11
ID0004,4,35
ID0004,4,35
ID0004,4,35
ID0004,4,35
ID0004,4,35
ID0004,4,35
ID0004,4,35
ID0004,4,35
ID0004,4,35
ID0004,4,35
ID0004,4,35
ID0004,4,35
ID0004,4,35
ID0004,4,35
ID0004,4,35
ID0004,4,35
ID0004,4,71
ID0004,4,71
ID0004,4,71
ID0004,4,71
ID0004,4,71
ID0004,4,71
ID0004,4,71
ID0004,4,71
ID0004,4,71
ID0004,4,71
ID0004,4,71
ID0004,4,71
ID0004,4,71
ID0004,4,71
ID0004,4,71
ID0004,4,71
ID0004,4,32
ID0004,4,32
ID0004,4,32
ID0004,4,32
ID0004,4,32
ID0004,4,32
ID0004,4,32
ID0004,4,32
ID0004,4,32
ID0004,4,32
ID0004,4,32
ID0004,4,32
ID0004,4,32
ID0004,4,32
ID0004,4,32
ID0004,4,32
ID0004,4,4
ID0004,4,4
ID0004,4,4
ID0004,4,4
ID0004,4,4
ID0004,4,4
ID0004,4,4
ID0004,4,4
ID0004,4,4
ID0004,4,4
ID0004,4,4
ID0004,4,4
ID0004,4,4
ID0004,4,4
ID0004,4,4
ID0004,4,4
ID0005,2,57
ID0005,2,57
ID0005,2,57
ID0005,2,57
ID0005,2,57
ID0005,2,57
ID0005,2,57
ID0005,2,57
ID0005,2,57
ID0005,2,57
ID0005,2,57
ID0005,2,78
ID0005,2,78
ID0005,2,78
ID0005,2,78
ID0005,2,78
ID0005,2,78
ID0005,2,78
ID0005,2,78
ID0005,2,78
ID0005,2,78
ID0005,2,78
ID0006,6,48
ID0006,6,48
ID0006,6,48
ID0006,6,48
ID0006,6,48
ID0006,6,48
ID0006,6,48
ID0006,6,48
ID0006,6,48
ID0006,6,48
ID0006,6,42
ID0006,6,42
ID0006,6,42
ID0006,6,42
ID0006,6,42
ID0006,6,42
ID0006,6,42
ID0006,6,42
ID0006,6,42
ID0006,6,42
ID0006,6,22
ID0006,6,22
ID0006,6,22
ID0006,6,22
ID0006,6,22
ID0006,6,22
ID0006,6,22
ID0006,6,22
ID0006,6,22
ID0006,6,22
ID0006,6,17
ID0006,6,17
ID0006,6,17
ID0006,6,17
ID0006,6,17
ID0006,6,17
ID0006,6,17
ID0006,6,17
ID0006,6,17
ID0006,6,17
ID0006,6,16
ID0006,6,16
ID0006,6,16
ID0006,6,16
ID0006,6,16
ID0006,6,16
ID0006,6,16
ID0006,6,16
