household_id,no_of_household_members,any_constructions_or_renovations_in_the_household
ID0001,4,No
ID0001,4,No
ID0001,4,No
ID0001,4,No
ID0001,4,No
ID0001,4,No
ID0001,4,No
ID0001,4,No
ID0001,4,No
ID0001,4,No
ID0001,4,No
ID0001,4,No
ID0001,4,No
ID0001,4,No
ID0001,4,No
ID0001,4,No
ID0001,4,No
ID0001,4,No
ID0001,4,No
ID0001,4,No
ID0001,4,No
ID0001,4,No
ID0001,4,No
ID0001,4,No
ID0001,4,No
ID0001,4,No
ID0001,4,No
ID0001,4,No
ID0001,4,No
ID0001,4,No
ID0001,4,No
ID0001,4,No
ID0002,3,No
ID0002,3,No
ID0002,3,No
ID0002,3,No
ID0002,3,No
ID0002,3,No
ID0002,3,No
ID0002,3,No
ID0002,3,No
ID0002,3,No
ID0002,3,No
ID0002,3,No
ID0003,4,No
ID0003,4,No
ID0003,4,No
ID0003,4,No
ID0003,4,No
ID0003,4,No
ID0003,4,No
ID0003,4,No
ID0003,4,No
ID0003,4,No
ID0003,4,No
ID0003,4,No
ID0003,4,No
ID0003,4,No
ID0003,4,No
ID0003,4,No
ID0003,4,No
ID0003,4,No
ID0003,4,No
ID0003,4,No
ID0003,4,No
ID0003,4,No
ID0003,4,No
ID0003,4,No
ID0003,4,No
ID0003,4,No
ID0003,4,No
ID0003,4,No
ID0003,4,No
ID0003,4,No
ID0003,4,No
ID0003,4,No
ID0003,4,No
ID0003,4,No
ID0003,4,No
ID0003,4,No
ID0003,4,No
ID0003,4,No
ID0003,4,No
ID0003,4,No
ID0003,4,No
ID0003,4,No
ID0003,4,No
ID0003,4,No
ID0003,4,No
ID0003,4,No
ID0003,4,No
ID0003,4,No
ID0003,4,No
ID0003,4,No
ID0003,4,No
ID0003,4,No
ID0003,4,No
ID0003,4,No
ID0003,4,No
ID0003,4,No
ID0003,4,No
ID0003,4,No
ID0003,4,No
ID0003,4,No
ID0003,4,No
ID0003,4,No
ID0003,4,No
ID0003,4,No
ID0003,4,No
ID0003,4,No
ID0003,4,No
ID0003,4,No
ID0003,4,No
ID0003,4,No
ID0003,4,No
ID0003,4,No
ID0003,4,No
ID0003,4,No
ID0003,4,No
ID0003,4,No
ID0004,4,No
ID0004,4,No
ID0004,4,No
ID0004,4,No
ID0004,4,No
ID0004,4,No
ID0004,4,No
ID0004,4,No
ID0004,4,No
ID0004,4,No
ID0004,4,No
ID0004,4,No
ID0004,4,No
ID0004,4,No
ID0004,4,No
ID0004,4,No
ID0004,4,No
ID0004,4,No
ID0004,4,No
ID0004,4,No
ID0004,4,No
ID0004,4,No
ID0004,4,No
ID0004,4,No
ID0004,4,No
ID0004,4,No
ID0004,4,No
ID0004,4,No
ID0004,4,No
ID0004,4,No
ID0004,4,No
ID0004,4,No
ID0004,4,No
ID0004,4,No
ID0004,4,No
ID0004,4,No
ID0004,4,No
ID0004,4,No
ID0004,4,No
ID0004,4,No
ID0004,4,No
ID0004,4,No
ID0004,4,No
ID0004,4,No
ID0004,4,No
ID0004,4,No
ID0004,4,No
ID0004,4,No
ID0004,4,No
ID0004,4,No
ID0004,4,No
ID0004,4,No
ID0004,4,No
ID0004,4,No
ID0004,4,No
ID0004,4,No
ID0004,4,No
ID0004,4,No
ID0004,4,No
ID0004,4,No
ID0004,4,No
ID0004,4,No
ID0004,4,No
ID0004,4,No
ID0005,2,No
ID0005,2,No
ID0005,2,No
ID0005,2,No
ID0005,2,No
ID0005,2,No
ID0005,2,No
ID0005,2,No
ID0005,2,No
ID0005,2,No
ID0005,2,No
ID0005,2,No
ID0005,2,No
ID0005,2,No
ID0005,2,No
ID0005,2,No
ID0005,2,No
ID0005,2,No
ID0005,2,No
ID0005,2,No
ID0005,2,No
ID0005,2,No
ID0006,6,No
ID0006,6,No
ID0006,6,No
ID0006,6,No
ID0006,6,No
ID0006,6,No
ID0006,6,No
ID0006,6,No
ID0006,6,No
ID0006,6,No
ID0006,6,No
ID0006,6,No
ID0006,6,No
ID0006,6,No
ID0006,6,No
ID0006,6,No
ID0006,6,No
ID0006,6,No
ID0006,6,No
ID0006,6,No
ID0006,6,No
ID0006,6,No
ID0006,6,No
ID0006,6,No
ID0006,6,No
ID0006,6,No
ID0006,6,No
ID0006,6,No
ID0006,6,No
ID0006,6,No
ID0006,6,No
ID0006,6,No
ID0006,6,No
ID0006,6,No
ID0006,6,No
ID0006,6,No
ID0006,6,No
ID0006,6,No
ID0006,6,No
ID0006,6,No
ID0006,6,No
ID0006,6,No
ID0006,6,No
ID0006,6,No
ID0006,6,No
ID0006,6,No
ID0006,6,No
ID0006,6,No
ID0006,6,No
ID0006,6,No
ID0006,6,No
ID0006,6,No
ID0006,6,No
ID0006,6,No
ID0006,6,No
ID0006,6,No
ID0006,6,No
ID0006,6,No
ID0006,6,No
ID0006,6,No
ID0007,4,No
ID0007,4,No
ID0007,4,No
ID0007,4,No
ID0007,4,No
ID0007,4,No
ID0007,4,No
ID0007,4,No
ID0007,4,No
ID0007,4,No
ID0007,4,No
ID0007,4,No
ID0007,4,No
ID0007,4,No
ID0007,4,No
ID0007,4,No
ID0007,4,No
ID0007,4,No
ID0007,4,No
ID0007,4,No
ID0007,4,No
ID0007,4,No
ID0007,4,No
ID0007,4,No
ID0007,4,No
ID0007,4,No
ID0007,4,No
ID0007,4,No
ID0007,4,No
ID0007,4,No
ID0007,4,No
ID0007,4,No
ID0007,4,No
ID0007,4,No
ID0007,4,No
ID0007,4,No
ID0008,5,No
ID0008,5,No
ID0008,5,No
ID0008,5,No
ID0008,5,No
ID0008,5,No
ID0008,5,No
ID0008,5,No
ID0008,5,No
ID0008,5,No
ID0008,5,No
ID0008,5,No
ID0008,5,No
ID0008,5,No
ID0008,5,No
ID0008,5,No
ID0008,5,No
ID0008,5,No
ID0008,5,No
ID0008,5,No
ID0008,5,No
ID0008,5,No
ID0008,5,No
ID0008,5,No
ID0008,5,No
ID0008,5,No
ID0008,5,No
ID0008,5,No
ID0008,5,No
ID0008,5,No
ID0008,5,No
ID0008,5,No
ID0008,5,No
ID0008,5,No
ID0008,5,No
ID0008,5,No
ID0008,5,No
ID0008,5,No
ID0008,5,No
ID0008,5,No
ID0008,5,No
ID0008,5,No
ID0008,5,No
ID0008,5,No
ID0008,5,No
ID0008,5,No
ID0008,5,No
ID0008,5,No
ID0008,5,No
ID0008,5,No
ID0008,5,No
ID0008,5,No
ID0008,5,No
ID0008,5,No
ID0008,5,No
ID0008,5,No
ID0008,5,No
ID0008,5,No
ID0008,5,No
ID0008,5,No
ID0008,5,No
ID0008,5,No
ID0008,5,No
ID0008,5,No
ID0008,5,No
ID0008,5,No
ID0008,5,No
ID0008,5,No
ID0008,5,No
ID0008,5,No
ID0008,5,No
ID0008,5,No
ID0008,5,No
ID0008,5,No
ID0008,5,No
ID0008,5,No
ID0008,5,No
ID0008,5,No
ID0008,5,No
ID0008,5,No
ID0008,5,No
ID0008,5,No
ID0008,5,No
ID0008,5,No
ID0008,5,No
ID0009,2,No
ID0009,2,No
ID0009,2,No
