household_id,no_of_household_members,floor_area
ID0001,4,1500.0
ID0001,4,1500.0
ID0001,4,1500.0
ID0001,4,1500.0
ID0001,4,1500.0
ID0001,4,1500.0
ID0001,4,1500.0
ID0001,4,1500.0
ID0001,4,1500.0
ID0001,4,1500.0
ID0001,4,1500.0
ID0001,4,1500.0
ID0001,4,1500.0
ID0001,4,1500.0
ID0001,4,1500.0
ID0001,4,1500.0
ID0001,4,1500.0
ID0001,4,1500.0
ID0001,4,1500.0
ID0001,4,1500.0
ID0001,4,1500.0
ID0001,4,1500.0
ID0001,4,1500.0
ID0001,4,1500.0
ID0001,4,1500.0
ID0001,4,1500.0
ID0001,4,1500.0
ID0001,4,1500.0
ID0001,4,1500.0
ID0001,4,1500.0
ID0001,4,1500.0
ID0001,4,1500.0
ID0002,3,440.0
ID0002,3,440.0
ID0002,3,440.0
ID0002,3,440.0
ID0002,3,440.0
ID0002,3,440.0
ID0002,3,440.0
ID0002,3,440.0
ID0002,3,440.0
ID0002,3,440.0
ID0002,3,440.0
ID0002,3,440.0
ID0003,4,2500.0
ID0003,4,2500.0
ID0003,4,2500.0
ID0003,4,2500.0
ID0003,4,2500.0
ID0003,4,2500.0
ID0003,4,2500.0
ID0003,4,2500.0
ID0003,4,2500.0
ID0003,4,2500.0
ID0003,4,2500.0
ID0003,4,2500.0
ID0003,4,2500.0
ID0003,4,2500.0
ID0003,4,2500.0
ID0003,4,2500.0
ID0003,4,2500.0
ID0003,4,2500.0
ID0003,4,2500.0
ID0003,4,2500.0
ID0003,4,2500.0
ID0003,4,2500.0
ID0003,4,2500.0
ID0003,4,2500.0
ID0003,4,2500.0
ID0003,4,2500.0
ID0003,4,2500.0
ID0003,4,2500.0
ID0003,4,2500.0
ID0003,4,2500.0
ID0003,4,2500.0
ID0003,4,2500.0
ID0003,4,2500.0
ID0003,4,2500.0
ID0003,4,2500.0
ID0003,4,2500.0
ID0003,4,2500.0
ID0003,4,2500.0
ID0003,4,2500.0
ID0003,4,2500.0
ID0003,4,2500.0
ID0003,4,2500.0
ID0003,4,2500.0
ID0003,4,2500.0
ID0003,4,2500.0
ID0003,4,2500.0
ID0003,4,2500.0
ID0003,4,2500.0
ID0003,4,2500.0
ID0003,4,2500.0
ID0003,4,2500.0
ID0003,4,2500.0
ID0003,4,2500.0
ID0003,4,2500.0
ID0003,4,2500.0
ID0003,4,2500.0
ID0003,4,2500.0
ID0003,4,2500.0
ID0003,4,2500.0
ID0003,4,2500.0
ID0003,4,2500.0
ID0003,4,2500.0
ID0003,4,2500.0
ID0003,4,2500.0
ID0003,4,2500.0
ID0003,4,2500.0
ID0003,4,2500.0
ID0003,4,2500.0
ID0003,4,2500.0
ID0003,4,2500.0
ID0003,4,2500.0
ID0003,4,2500.0
ID0003,4,2500.0
ID0003,4,2500.0
ID0003,4,2500.0
ID0003,4,2500.0
ID0004,4,2600.0
ID0004,4,2600.0
ID0004,4,2600.0
ID0004,4,2600.0
ID0004,4,2600.0
ID0004,4,2600.0
ID0004,4,2600.0
ID0004,4,2600.0
ID0004,4,2600.0
ID0004,4,2600.0
ID0004,4,2600.0
ID0004,4,2600.0
ID0004,4,2600.0
ID0004,4,2600.0
ID0004,4,2600.0
ID0004,4,2600.0
ID0004,4,2600.0
ID0004,4,2600.0
ID0004,4,2600.0
ID0004,4,2600.0
ID0004,4,2600.0
ID0004,4,2600.0
ID0004,4,2600.0
ID0004,4,2600.0
ID0004,4,2600.0
ID0004,4,2600.0
ID0004,4,2600.0
ID0004,4,2600.0
ID0004,4,2600.0
ID0004,4,2600.0
ID0004,4,2600.0
ID0004,4,2600.0
ID0004,4,2600.0
ID0004,4,2600.0
ID0004,4,2600.0
ID0004,4,2600.0
ID0004,4,2600.0
ID0004,4,2600.0
ID0004,4,2600.0
ID0004,4,2600.0
ID0004,4,2600.0
ID0004,4,2600.0
ID0004,4,2600.0
ID0004,4,2600.0
ID0004,4,2600.0
ID0004,4,2600.0
ID0004,4,2600.0
ID0004,4,2600.0
ID0004,4,2600.0
ID0004,4,2600.0
ID0004,4,2600.0
ID0004,4,2600.0
ID0004,4,2600.0
ID0004,4,2600.0
ID0004,4,2600.0
ID0004,4,2600.0
ID0004,4,2600.0
ID0004,4,2600.0
ID0004,4,2600.0
ID0004,4,2600.0
ID0004,4,2600.0
ID0004,4,2600.0
ID0004,4,2600.0
ID0004,4,2600.0
ID0005,2,480.0
ID0005,2,480.0
ID0005,2,480.0
ID0005,2,480.0
ID0005,2,480.0
ID0005,2,480.0
ID0005,2,480.0
ID0005,2,480.0
ID0005,2,480.0
ID0005,2,480.0
ID0005,2,480.0
ID0005,2,480.0
ID0005,2,480.0
ID0005,2,480.0
ID0005,2,480.0
ID0005,2,480.0
ID0005,2,480.0
ID0005,2,480.0
ID0005,2,480.0
ID0005,2,480.0
ID0005,2,480.0
ID0005,2,480.0
ID0006,6,440.0
ID0006,6,440.0
ID0006,6,440.0
ID0006,6,440.0
ID0006,6,440.0
ID0006,6,440.0
ID0006,6,440.0
ID0006,6,440.0
ID0006,6,440.0
ID0006,6,440.0
ID0006,6,440.0
ID0006,6,440.0
ID0006,6,440.0
ID0006,6,440.0
ID0006,6,440.0
ID0006,6,440.0
ID0006,6,440.0
ID0006,6,440.0
ID0006,6,440.0
ID0006,6,440.0
ID0006,6,440.0
ID0006,6,440.0
ID0006,6,440.0
ID0006,6,440.0
ID0006,6,440.0
ID0006,6,440.0
ID0006,6,440.0
ID0006,6,440.0
ID0006,6,440.0
ID0006,6,440.0
ID0006,6,440.0
ID0006,6,440.0
ID0006,6,440.0
ID0006,6,440.0
ID0006,6,440.0
ID0006,6,440.0
ID0006,6,440.0
ID0006,6,440.0
ID0006,6,440.0
ID0006,6,440.0
ID0006,6,440.0
ID0006,6,440.0
ID0006,6,440.0
ID0006,6,440.0
ID0006,6,440.0
ID0006,6,440.0
ID0006,6,440.0
ID0006,6,440.0
ID0006,6,440.0
ID0006,6,440.0
ID0006,6,440.0
ID0006,6,440.0
ID0006,6,440.0
ID0006,6,440.0
ID0006,6,440.0
ID0006,6,440.0
ID0006,6,440.0
ID0006,6,440.0
ID0006,6,440.0
ID0006,6,440.0
ID0007,4,480.0
ID0007,4,480.0
ID0007,4,480.0
ID0007,4,480.0
ID0007,4,480.0
ID0007,4,480.0
ID0007,4,480.0
ID0007,4,480.0
ID0007,4,480.0
ID0007,4,480.0
ID0007,4,480.0
ID0007,4,480.0
ID0007,4,480.0
ID0007,4,480.0
ID0007,4,480.0
ID0007,4,480.0
ID0007,4,480.0
ID0007,4,480.0
ID0007,4,480.0
ID0007,4,480.0
ID0007,4,480.0
ID0007,4,480.0
ID0007,4,480.0
ID0007,4,480.0
ID0007,4,480.0
ID0007,4,480.0
ID0007,4,480.0
ID0007,4,480.0
ID0007,4,480.0
ID0007,4,480.0
ID0007,4,480.0
ID0007,4,480.0
ID0007,4,480.0
ID0007,4,480.0
ID0007,4,480.0
ID0007,4,480.0
ID0008,5,1400.0
ID0008,5,1400.0
ID0008,5,1400.0
ID0008,5,1400.0
ID0008,5,1400.0
ID0008,5,1400.0
ID0008,5,1400.0
ID0008,5,1400.0
ID0008,5,1400.0
ID0008,5,1400.0
ID0008,5,1400.0
ID0008,5,1400.0
ID0008,5,1400.0
ID0008,5,1400.0
