household_id,no_of_household_members,main_material_used_for_roof_of_the_house
ID0001,4,Asbestos
ID0001,4,Asbestos
ID0001,4,Asbestos
ID0001,4,Asbestos
ID0001,4,Asbestos
ID0001,4,Asbestos
ID0001,4,Asbestos
ID0001,4,Asbestos
ID0001,4,Asbestos
ID0001,4,Asbestos
ID0001,4,Asbestos
ID0001,4,Asbestos
ID0001,4,Asbestos
ID0001,4,Asbestos
ID0001,4,Asbestos
ID0001,4,Asbestos
ID0001,4,Asbestos
ID0001,4,Asbestos
ID0001,4,Asbestos
ID0001,4,Asbestos
ID0001,4,Asbestos
ID0001,4,Asbestos
ID0001,4,Asbestos
ID0001,4,Asbestos
ID0001,4,Asbestos
ID0001,4,Asbestos
ID0001,4,Asbestos
ID0001,4,Asbestos
ID0001,4,Asbestos
ID0001,4,Asbestos
ID0001,4,Asbestos
ID0001,4,Asbestos
ID0002,3,Asbestos
ID0002,3,Asbestos
ID0002,3,Asbestos
ID0002,3,Asbestos
ID0002,3,Asbestos
ID0002,3,Asbestos
ID0002,3,Asbestos
ID0002,3,Asbestos
ID0002,3,Asbestos
ID0002,3,Asbestos
ID0002,3,Asbestos
ID0002,3,Asbestos
ID0003,4,Tile
ID0003,4,Tile
ID0003,4,Tile
ID0003,4,Tile
ID0003,4,Tile
ID0003,4,Tile
ID0003,4,Tile
ID0003,4,Tile
ID0003,4,Tile
ID0003,4,Tile
ID0003,4,Tile
ID0003,4,Tile
ID0003,4,Tile
ID0003,4,Tile
ID0003,4,Tile
ID0003,4,Tile
ID0003,4,Tile
ID0003,4,Tile
ID0003,4,Tile
ID0003,4,Tile
ID0003,4,Tile
ID0003,4,Tile
ID0003,4,Tile
ID0003,4,Tile
ID0003,4,Tile
ID0003,4,Tile
ID0003,4,Tile
ID0003,4,Tile
ID0003,4,Tile
ID0003,4,Tile
ID0003,4,Tile
ID0003,4,Tile
ID0003,4,Tile
ID0003,4,Tile
ID0003,4,Tile
ID0003,4,Tile
ID0003,4,Tile
ID0003,4,Tile
ID0003,4,Tile
ID0003,4,Tile
