household_id,no_of_household_members,no_of_electricity_meters
ID0001,4,1
ID0001,4,1
ID0001,4,1
ID0001,4,1
ID0001,4,1
ID0001,4,1
ID0001,4,1
ID0001,4,1
ID0001,4,1
ID0001,4,1
ID0001,4,1
ID0001,4,1
ID0001,4,1
ID0001,4,1
ID0001,4,1
ID0001,4,1
ID0001,4,1
ID0001,4,1
ID0001,4,1
ID0001,4,1
ID0001,4,1
ID0001,4,1
ID0001,4,1
ID0001,4,1
ID0001,4,1
ID0001,4,1
ID0001,4,1
ID0001,4,1
ID0001,4,1
ID0001,4,1
ID0001,4,1
ID0001,4,1
ID0002,3,1
ID0002,3,1
ID0002,3,1
ID0002,3,1
ID0002,3,1
ID0002,3,1
ID0002,3,1
ID0002,3,1
ID0002,3,1
ID0002,3,1
ID0002,3,1
ID0002,3,1
ID0003,4,1
ID0003,4,1
ID0003,4,1
ID0003,4,1
ID0003,4,1
ID0003,4,1
ID0003,4,1
ID0003,4,1
ID0003,4,1
ID0003,4,1
ID0003,4,1
ID0003,4,1
ID0003,4,1
ID0003,4,1
ID0003,4,1
ID0003,4,1
ID0003,4,1
ID0003,4,1
ID0003,4,1
ID0003,4,1
ID0003,4,1
ID0003,4,1
ID0003,4,1
ID0003,4,1
ID0003,4,1
ID0003,4,1
ID0003,4,1
ID0003,4,1
ID0003,4,1
ID0003,4,1
ID0003,4,1
ID0003,4,1
ID0003,4,1
ID0003,4,1
ID0003,4,1
ID0003,4,1
ID0003,4,1
ID0003,4,1
ID0003,4,1
ID0003,4,1
ID0003,4,1
ID0003,4,1
ID0003,4,1
ID0003,4,1
ID0003,4,1
ID0003,4,1
ID0003,4,1
ID0003,4,1
ID0003,4,1
ID0003,4,1
ID0003,4,1
ID0003,4,1
ID0003,4,1
ID0003,4,1
ID0003,4,1
ID0003,4,1
ID0003,4,1
ID0003,4,1
ID0003,4,1
ID0003,4,1
ID0003,4,1
ID0003,4,1
ID0003,4,1
ID0003,4,1
ID0003,4,1
ID0003,4,1
ID0003,4,1
ID0003,4,1
ID0003,4,1
