household_id,no_of_household_members,no_of_storeys
ID0001,4,1.0
ID0001,4,1.0
ID0001,4,1.0
ID0001,4,1.0
ID0001,4,1.0
ID0001,4,1.0
ID0001,4,1.0
ID0001,4,1.0
ID0001,4,1.0
ID0001,4,1.0
ID0001,4,1.0
ID0001,4,1.0
ID0001,4,1.0
ID0001,4,1.0
ID0001,4,1.0
ID0001,4,1.0
ID0001,4,1.0
ID0001,4,1.0
ID0001,4,1.0
ID0001,4,1.0
ID0001,4,1.0
ID0001,4,1.0
ID0001,4,1.0
ID0001,4,1.0
ID0001,4,1.0
ID0001,4,1.0
ID0001,4,1.0
ID0001,4,1.0
ID0001,4,1.0
ID0001,4,1.0
ID0001,4,1.0
ID0001,4,1.0
ID0002,3,1.0
ID0002,3,1.0
ID0002,3,1.0
ID0002,3,1.0
ID0002,3,1.0
ID0002,3,1.0
ID0002,3,1.0
ID0002,3,1.0
ID0002,3,1.0
ID0002,3,1.0
ID0002,3,1.0
ID0002,3,1.0
ID0003,4,1.0
ID0003,4,1.0
ID0003,4,1.0
ID0003,4,1.0
ID0003,4,1.0
ID0003,4,1.0
ID0003,4,1.0
ID0003,4,1.0
ID0003,4,1.0
ID0003,4,1.0
ID0003,4,1.0
ID0003,4,1.0
ID0003,4,1.0
ID0003,4,1.0
ID0003,4,1.0
ID0003,4,1.0
ID0003,4,1.0
ID0003,4,1.0
ID0003,4,1.0
ID0003,4,1.0
ID0003,4,1.0
ID0003,4,1.0
ID0003,4,1.0
ID0003,4,1.0
ID0003,4,1.0
ID0003,4,1.0
ID0003,4,1.0
ID0003,4,1.0
ID0003,4,1.0
ID0003,4,1.0
ID0003,4,1.0
ID0003,4,1.0
ID0003,4,1.0
ID0003,4,1.0
ID0003,4,1.0
ID0003,4,1.0
ID0003,4,1.0
ID0003,4,1.0
ID0003,4,1.0
ID0003,4,1.0
ID0003,4,1.0
ID0003,4,1.0
ID0003,4,1.0
ID0003,4,1.0
ID0003,4,1.0
ID0003,4,1.0
ID0003,4,1.0
ID0003,4,1.0
ID0003,4,1.0
ID0003,4,1.0
ID0003,4,1.0
ID0003,4,1.0
ID0003,4,1.0
ID0003,4,1.0
ID0003,4,1.0
ID0003,4,1.0
ID0003,4,1.0
ID0003,4,1.0
ID0003,4,1.0
ID0003,4,1.0
ID0003,4,1.0
ID0003,4,1.0
ID0003,4,1.0
ID0003,4,1.0
ID0003,4,1.0
ID0003,4,1.0
ID0003,4,1.0
ID0003,4,1.0
ID0003,4,1.0
ID0003,4,1.0
ID0003,4,1.0
ID0003,4,1.0
ID0003,4,1.0
ID0003,4,1.0
ID0003,4,1.0
ID0003,4,1.0
ID0004,4,1.0
ID0004,4,1.0
ID0004,4,1.0
ID0004,4,1.0
ID0004,4,1.0
ID0004,4,1.0
ID0004,4,1.0
ID0004,4,1.0
ID0004,4,1.0
ID0004,4,1.0
ID0004,4,1.0
ID0004,4,1.0
ID0004,4,1.0
ID0004,4,1.0
ID0004,4,1.0
ID0004,4,1.0
ID0004,4,1.0
ID0004,4,1.0
ID0004,4,1.0
ID0004,4,1.0
ID0004,4,1.0
ID0004,4,1.0
ID0004,4,1.0
ID0004,4,1.0
ID0004,4,1.0
ID0004,4,1.0
ID0004,4,1.0
ID0004,4,1.0
ID0004,4,1.0
ID0004,4,1.0
ID0004,4,1.0
ID0004,4,1.0
ID0004,4,1.0
ID0004,4,1.0
ID0004,4,1.0
ID0004,4,1.0
ID0004,4,1.0
ID0004,4,1.0
ID0004,4,1.0
ID0004,4,1.0
ID0004,4,1.0
ID0004,4,1.0
ID0004,4,1.0
ID0004,4,1.0
ID0004,4,1.0
ID0004,4,1.0
ID0004,4,1.0
ID0004,4,1.0
ID0004,4,1.0
ID0004,4,1.0
ID0004,4,1.0
ID0004,4,1.0
ID0004,4,1.0
ID0004,4,1.0
ID0004,4,1.0
ID0004,4,1.0
ID0004,4,1.0
ID0004,4,1.0
ID0004,4,1.0
ID0004,4,1.0
ID0004,4,1.0
ID0004,4,1.0
ID0004,4,1.0
ID0004,4,1.0
ID0005,2,1.0
ID0005,2,1.0
ID0005,2,1.0
ID0005,2,1.0
ID0005,2,1.0
ID0005,2,1.0
ID0005,2,1.0
ID0005,2,1.0
ID0005,2,1.0
ID0005,2,1.0
ID0005,2,1.0
ID0005,2,1.0
ID0005,2,1.0
ID0005,2,1.0
ID0005,2,1.0
ID0005,2,1.0
ID0005,2,1.0
ID0005,2,1.0
ID0005,2,1.0
ID0005,2,1.0
ID0005,2,1.0
ID0005,2,1.0
ID0006,6,2.0
ID0006,6,2.0
ID0006,6,2.0
ID0006,6,2.0
ID0006,6,2.0
ID0006,6,2.0
ID0006,6,2.0
ID0006,6,2.0
ID0006,6,2.0
ID0006,6,2.0
ID0006,6,2.0
ID0006,6,2.0
ID0006,6,2.0
ID0006,6,2.0
ID0006,6,2.0
ID0006,6,2.0
ID0006,6,2.0
ID0006,6,2.0
ID0006,6,2.0
ID0006,6,2.0
ID0006,6,2.0
ID0006,6,2.0
ID0006,6,2.0
ID0006,6,2.0
ID0006,6,2.0
ID0006,6,2.0
ID0006,6,2.0
ID0006,6,2.0
ID0006,6,2.0
ID0006,6,2.0
ID0006,6,2.0
ID0006,6,2.0
ID0006,6,2.0
ID0006,6,2.0
ID0006,6,2.0
ID0006,6,2.0
ID0006,6,2.0
ID0006,6,2.0
ID0006,6,2.0
ID0006,6,2.0
ID0006,6,2.0
ID0006,6,2.0
ID0006,6,2.0
ID0006,6,2.0
ID0006,6,2.0
ID0006,6,2.0
ID0006,6,2.0
ID0006,6,2.0
ID0006,6,2.0
ID0006,6,2.0
ID0006,6,2.0
ID0006,6,2.0
ID0006,6,2.0
ID0006,6,2.0
ID0006,6,2.0
ID0006,6,2.0
ID0006,6,2.0
ID0006,6,2.0
ID0006,6,2.0
ID0006,6,2.0
ID0007,4,1.0
ID0007,4,1.0
ID0007,4,1.0
ID0007,4,1.0
ID0007,4,1.0
ID0007,4,1.0
ID0007,4,1.0
ID0007,4,1.0
ID0007,4,1.0
ID0007,4,1.0
ID0007,4,1.0
ID0007,4,1.0
ID0007,4,1.0
ID0007,4,1.0
ID0007,4,1.0
ID0007,4,1.0
ID0007,4,1.0
ID0007,4,1.0
ID0007,4,1.0
ID0007,4,1.0
ID0007,4,1.0
ID0007,4,1.0
ID0007,4,1.0
ID0007,4,1.0
ID0007,4,1.0
ID0007,4,1.0
ID0007,4,1.0
ID0007,4,1.0
ID0007,4,1.0
ID0007,4,1.0
ID0007,4,1.0
ID0007,4,1.0
ID0007,4,1.0
ID0007,4,1.0
ID0007,4,1.0
ID0007,4,1.0
ID0008,5,1.0
ID0008,5,1.0
ID0008,5,1.0
ID0008,5,1.0
ID0008,5,1.0
ID0008,5,1.0
ID0008,5,1.0
ID0008,5,1.0
ID0008,5,1.0
ID0008,5,1.0
ID0008,5,1.0
ID0008,5,1.0
ID0008,5,1.0
ID0008,5,1.0
ID0008,5,1.0
ID0008,5,1.0
ID0008,5,1.0
ID0008,5,1.0
ID0008,5,1.0
ID0008,5,1.0
ID0008,5,1.0
ID0008,5,1.0
ID0008,5,1.0
ID0008,5,1.0
ID0008,5,1.0
ID0008,5,1.0
ID0008,5,1.0
